epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,4710.73,0.4987,0.53679,1.05314,0.80492,0.85685,0.88264,0.66005,0.787,0.79984,1.37417,0.0003326,0.0003326,0.0003326
64,4785.39,0.47916,0.51433,1.05136,0.92878,0.77664,0.89514,0.66716,0.78124,0.75493,1.36594,0.000314916,0.000314916,0.000314916
65,4859.62,0.47305,0.51369,1.03073,0.82618,0.84938,0.88649,0.65735,0.79354,0.70717,1.40804,0.000297232,0.000297232,0.000297232
66,4933.87,0.48784,0.49962,1.05054,0.91063,0.77557,0.89792,0.68163,0.78298,0.72809,1.36146,0.000279548,0.000279548,0.000279548
67,5008.57,0.45297,0.48486,1.03067,0.86335,0.73016,0.84741,0.64637,0.79204,0.82625,1.36315,0.000261864,0.000261864,0.000261864
68,5082.99,0.46962,0.48973,1.04032,0.79263,0.84362,0.86717,0.66089,0.76276,0.80245,1.36002,0.00024418,0.00024418,0.00024418
69,5157.52,0.47129,0.50532,1.04992,0.88943,0.72722,0.85396,0.66082,0.75065,0.80871,1.3338,0.000226497,0.000226497,0.000226497
70,5231.82,0.46016,0.48633,1.03823,0.8945,0.74941,0.8626,0.67238,0.78025,0.73855,1.36525,0.000208813,0.000208813,0.000208813
71,5304.48,0.32738,0.38513,0.9438,0.85383,0.77279,0.85036,0.65686,0.77003,0.77444,1.37067,0.000191129,0.000191129,0.000191129
72,5377.65,0.30808,0.35723,0.94627,0.88956,0.80654,0.88486,0.68208,0.76142,0.73124,1.37437,0.000173445,0.000173445,0.000173445
